,Server,Command,Workload,Trial,Throughput
154,redis-server-dumb,load,workloadd,17,1117.31843575419
155,redis-server-dumb,run,workloadd,17,1712.3287671232877
156,redis-server-dumb,load,workloadd,18,1180.637544273908
157,redis-server-dumb,run,workloadd,18,1680.672268907563
158,redis-server-dumb,load,workloadd,19,1152.073732718894
159,redis-server-dumb,run,workloadd,19,2197.802197802198
160,redis-server-dumb,load,workloade,0,1319.2612137203166
161,redis-server-dumb,run,workloade,0,41.502386387217264
162,redis-server-dumb,load,workloade,1,1119.8208286674133
163,redis-server-dumb,run,workloade,1,47.02562896778744
164,redis-server-dumb,load,workloade,2,1572.3270440251572
165,redis-server-dumb,run,workloade,2,42.4881033310673
166,redis-server-dumb,load,workloade,3,1179.245283018868
167,redis-server-dumb,run,workloade,3,48.569624556802175
168,redis-server-dumb,load,workloade,4,1552.7950310559006
169,redis-server-dumb,run,workloade,4,46.613527245606676
170,redis-server-dumb,load,workloade,5,1250.0
171,redis-server-dumb,run,workloade,5,48.828125
172,redis-server-dumb,load,workloade,6,1136.3636363636363
173,redis-server-dumb,run,workloade,6,43.48582362149939
174,redis-server-dumb,load,workloade,7,1128.6681715575621
175,redis-server-dumb,run,workloade,7,44.34589800443459
176,redis-server-dumb,load,workloade,8,1560.0624024960998
177,redis-server-dumb,run,workloade,8,43.76750700280112
178,redis-server-dumb,load,workloade,9,1112.3470522803113
179,redis-server-dumb,run,workloade,9,46.07657927475464
180,redis-server-dumb,load,workloade,10,1104.9723756906078
181,redis-server-dumb,run,workloade,10,53.11238580837051
182,redis-server-dumb,load,workloade,11,1116.0714285714287
183,redis-server-dumb,run,workloade,11,53.72877713303245
184,redis-server-dumb,load,workloade,12,1112.3470522803113
185,redis-server-dumb,run,workloade,12,45.14061300952467
186,redis-server-dumb,load,workloade,13,1156.0693641618498
187,redis-server-dumb,run,workloade,13,44.776787713249455
188,redis-server-dumb,load,workloade,14,1164.1443538998835
189,redis-server-dumb,run,workloade,14,46.57661853749418
190,redis-server-dumb,load,workloade,15,1117.31843575419
191,redis-server-dumb,run,workloade,15,45.00450045004501
192,redis-server-dumb,load,workloade,16,1152.073732718894
193,redis-server-dumb,run,workloade,16,49.05327185323261
194,redis-server-dumb,load,workloade,17,1106.1946902654868
195,redis-server-dumb,run,workloade,17,47.58053004710472
196,redis-server-dumb,load,workloade,18,1319.2612137203166
197,redis-server-dumb,run,workloade,18,48.49425343096843
198,redis-server-dumb,load,workloade,19,1122.334455667789
199,redis-server-dumb,run,workloade,19,52.47415647793462
200,redis-server-dumb,load,workloadf,0,1106.1946902654868
201,redis-server-dumb,run,workloadf,0,2057.61316872428
202,redis-server-dumb,load,workloadf,1,1557.632398753894
203,redis-server-dumb,run,workloadf,1,1515.1515151515152
204,redis-server-dumb,load,workloadf,2,1186.2396204033214
205,redis-server-dumb,run,workloadf,2,1727.1157167530225
206,redis-server-dumb,load,workloadf,3,1160.092807424594
207,redis-server-dumb,run,workloadf,3,1512.8593040847202
208,redis-server-dumb,load,workloadf,4,1123.5955056179776
209,redis-server-dumb,run,workloadf,4,1512.8593040847202
210,redis-server-dumb,load,workloadf,5,1215.0668286755772
211,redis-server-dumb,run,workloadf,5,1499.2503748125937
212,redis-server-dumb,load,workloadf,6,1248.4394506866417
213,redis-server-dumb,run,workloadf,6,1499.2503748125937
214,redis-server-dumb,load,workloadf,7,1114.8272017837235
215,redis-server-dumb,run,workloadf,7,1562.5
216,redis-server-dumb,load,workloadf,8,1085.7763300760043
217,redis-server-dumb,run,workloadf,8,1858.736059479554
218,redis-server-dumb,load,workloadf,9,1165.5011655011656
219,redis-server-dumb,run,workloadf,9,1550.3875968992247
220,redis-server-dumb,load,workloadf,10,1510.5740181268882
221,redis-server-dumb,run,workloadf,10,1766.7844522968198
222,redis-server-dumb,load,workloadf,11,1145.475372279496
223,redis-server-dumb,run,workloadf,11,1517.4506828528072
224,redis-server-dumb,load,workloadf,12,1169.5906432748538
225,redis-server-dumb,run,workloadf,12,1562.5
226,redis-server-dumb,load,workloadf,13,1112.3470522803113
227,redis-server-dumb,run,workloadf,13,1631.3213703099511
228,redis-server-dumb,load,workloadf,14,1180.637544273908
229,redis-server-dumb,run,workloadf,14,1869.1588785046729
230,redis-server-dumb,load,workloadf,15,1251.5644555694619
231,redis-server-dumb,run,workloadf,15,1949.317738791423
232,redis-server-dumb,load,workloadf,16,1118.5682326621925
